City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,polohy,clear sky,UA,1613536641,95,47.4844,36.2536,-10.63,2.44
1,margate,overcast clouds,GB,1613545453,83,51.3813,1.3862,8.89,2.24
2,clyde river,few clouds,CA,1613480767,76,70.4692,-68.5914,-31,3.09
3,mataura,clear sky,NZ,1613498528,35,-46.1927,168.8643,18.71,2.52
4,busselton,clear sky,AU,1613512567,51,-33.65,115.3333,24.75,5.23
5,busselton,clear sky,AU,1613512567,51,-33.65,115.3333,24.75,5.23
6,talnakh,overcast clouds,RU,1613528845,85,69.4865,88.3972,-27.01,0.93
7,buchanan,moderate rain,LR,1613544954,88,5.8808,-10.0467,25.72,2.51
8,cape town,clear sky,ZA,1613535819,82,-33.9258,18.4232,16.11,0.51
9,sentyabrskiy,,,,,,,,
10,busselton,clear sky,AU,1613512567,51,-33.65,115.3333,24.75,5.23
11,boddam,scattered clouds,GB,1613547110,93,57.4667,-1.7833,4,5.14
12,albany,light snow,US,1613476271,63,42.6001,-73.9662,-4,9.26
13,ushuaia,broken clouds,AR,1613554318,82,-54.8,-68.3,8.87,0.64
14,kapaa,light rain,US,1613495264,94,22.0752,-159.319,23,3.6
15,ushuaia,broken clouds,AR,1613554318,82,-54.8,-68.3,8.87,0.64
16,coahuayana,clear sky,MX,1613481725,85,18.7333,-103.6833,17.32,1.35
17,krasnyy chikoy,broken clouds,RU,1613519594,90,50.3643,108.7512,-10.76,1.06
18,porto novo,scattered clouds,BJ,1613541949,89,6.4965,2.6036,29,4.63
19,rikitea,light rain,PF,1613486957,75,-23.1203,-134.9692,25.95,6.51
20,hilo,overcast clouds,US,1613494115,73,19.7297,-155.09,24,3.6
21,carnarvon,clear sky,AU,1613513593,83,-24.8667,113.6333,28,7.2
22,blind river,clear sky,CA,1613478780,66,46.1834,-82.9582,-8,6.69
23,garden city,few clouds,US,1613478491,78,42.3256,-83.331,-13.33,1.54
24,east london,clear sky,ZA,1613533610,72,-33.0153,27.9116,18,1.54
25,saint paul,scattered clouds,US,1613481082,90,44.9444,-93.0933,-22.74,0.9
26,mataura,clear sky,NZ,1613498528,35,-46.1927,168.8643,18.71,2.52
27,saint george,broken clouds,US,1613485302,46,37.1041,-113.5841,8,6.69
28,moron,clear sky,AR,1613554264,90,-34.6534,-58.6198,20.56,0.89
29,rikitea,light rain,PF,1613486957,75,-23.1203,-134.9692,25.95,6.51
30,rocha,broken clouds,UY,1613553248,95,-34.4833,-54.3333,17.05,0.51
31,srivardhan,scattered clouds,IN,1613525662,67,18.0333,73.0167,24.92,3.53
32,cape town,clear sky,ZA,1613535819,82,-33.9258,18.4232,16.11,0.51
33,camacupa,overcast clouds,AO,1613537426,79,-12.0167,17.4833,16.15,1.53
34,mountain home,light snow,US,1613486325,97,43.133,-115.6912,1,6.17
35,dagda,broken clouds,LV,1613539857,93,56.0951,27.5372,-18.09,2.32
36,victoria,clear sky,HK,1613516033,59,22.2855,114.1577,21.07,4.66
37,mahebourg,broken clouds,MU,1613527298,94,-20.4081,57.7,25,1.54
38,vardo,broken clouds,NO,1613542971,85,70.3705,31.1107,-12,5.14
39,acarau,light rain,BR,1613551727,94,-2.8856,-40.12,22.93,2.3
40,port moresby,haze,PG,1613506432,74,-9.4431,147.1797,29,5.66
41,cherskiy,clear sky,RU,1613511079,86,68.75,161.3,-30.26,0.7
42,kapaa,light rain,US,1613495264,94,22.0752,-159.319,23,3.6
43,rikitea,light rain,PF,1613486957,75,-23.1203,-134.9692,25.95,6.51
44,bodden town,few clouds,KY,1613476375,83,19.2833,-81.25,26.11,3.09
45,codrington,clear sky,AU,1613505788,29,-38.2667,141.9667,32.47,5.49
46,punta arenas,light rain,CL,1613555214,81,-53.15,-70.9167,10,5.66
47,san luis potosi,clear sky,MX,1613481179,19,22.5,-100.5,18,4.12
48,vaini,few clouds,TO,1613583166,70,-21.2,-175.2,30,2.57
49,evensk,overcast clouds,RU,1613509440,86,61.95,159.2333,-10.5,7.9
50,tuktoyaktuk,overcast clouds,CA,1613495681,88,69.4541,-133.0374,-27.54,3.01
51,bluff,clear sky,NZ,1613498608,63,-46.6,168.3333,13.39,3.72
52,taolanaro,,,,,,,,
53,warqla,,,,,,,,
54,arraial do cabo,clear sky,BR,1613551086,88,-22.9661,-42.0278,24.17,2.14
55,boyolangu,broken clouds,ID,1613514972,65,-8.1181,111.8935,30.24,1.25
56,tiznit,clear sky,MA,1613546142,41,29.5833,-9.5,11.72,3.04
57,olafsvik,overcast clouds,IS,1613554014,77,64.8945,-23.7142,4.25,3.57
58,talnakh,overcast clouds,RU,1613528845,85,69.4865,88.3972,-27.01,0.93
59,ondorhaan,,,,,,,,
60,touros,overcast clouds,BR,1613550491,82,-5.1989,-35.4608,25.88,3.39
61,meyungs,,,,,,,,
62,tuatapere,clear sky,NZ,1613498818,56,-46.1333,167.6833,16.67,3.58
63,vila velha,broken clouds,BR,1613550828,94,-20.3297,-40.2925,24.44,4.63
64,kapaa,light rain,US,1613495264,94,22.0752,-159.319,23,3.6
65,taolanaro,,,,,,,,
66,carnarvon,clear sky,AU,1613513593,83,-24.8667,113.6333,28,7.2
67,grand river south east,,,,,,,,
68,fukue,snow,JP,1613513171,86,32.6881,128.8419,1,4.63
69,taolanaro,,,,,,,,
70,russell,clear sky,US,1613478142,74,32.3502,-85.1999,-1,1.96
71,vaitupu,,,,,,,,
