City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,avarua,light rain,CK,1614184461,83,-21.2078,-159.775,28,5.14
1,port alfred,light rain,ZA,1614225441,95,-33.5906,26.891,18.33,0.45
2,constitucion,clear sky,CL,1614162730,90,-35.3333,-72.4167,14.62,2.06
3,bredasdorp,overcast clouds,ZA,1614227030,82,-34.5322,20.0403,17,2.5
4,nikolskoye,overcast clouds,RU,1614229586,93,59.7035,30.7861,3,5
5,chokurdakh,overcast clouds,RU,1614203978,88,70.6333,147.9167,-28.9,2.47
6,ribeira grande,broken clouds,PT,1614241956,63,38.5167,-28.7,12.89,7.85
7,port hawkesbury,overcast clouds,CA,1614163949,75,45.6169,-61.3485,2,4.63
9,north bend,clear sky,US,1614178861,71,43.4065,-124.2243,8,7.2
10,hermanus,scattered clouds,ZA,1614227230,94,-34.4187,19.2345,14.44,4.41
11,longyearbyen,light snow,SJ,1614240311,80,78.2186,15.6401,1,5.66
12,kirakira,overcast clouds,SB,1614194121,74,-10.4544,161.9205,29.88,3.44
13,namtsy,mist,RU,1614206382,68,62.7161,129.6658,-34,1
14,komsomolskiy,broken clouds,UZ,1614217995,58,40.4272,71.7189,-4,3.09
15,cape town,clear sky,ZA,1614227454,68,-33.9258,18.4232,19.44,5.66
16,omboue,overcast clouds,GA,1614231109,82,-1.5746,9.2618,26.08,1.89
17,bredasdorp,overcast clouds,ZA,1614227030,82,-34.5322,20.0403,17,2.5
18,ottumwa,clear sky,US,1614171072,93,41.02,-92.4113,0.56,3.09
19,busselton,clear sky,AU,1614204198,63,-33.65,115.3333,23.33,0.89
20,sitka,mist,US,1614182787,80,57.0531,-135.33,2,11.32
22,darnah,clear sky,LY,1614229330,71,32.767,22.6367,15.3,8.25
23,paraiso,clear sky,CR,1614167514,60,9.8383,-83.8656,23,7.2
24,port alfred,light rain,ZA,1614225441,95,-33.5906,26.891,18.33,0.45
25,mataura,broken clouds,NZ,1614190444,66,-46.1927,168.8643,15.56,3.58
26,albany,overcast clouds,US,1614166756,43,42.6001,-73.9662,7.22,4.53
27,port-gentil,overcast clouds,GA,1614231257,78,-0.7193,8.7815,27.67,4.34
28,port alfred,light rain,ZA,1614225441,95,-33.5906,26.891,18.33,0.45
29,khatanga,broken clouds,RU,1614215347,97,71.9667,102.5,-30.7,3.49
30,sagaing,scattered clouds,MM,1614211229,56,21.8787,95.9797,20,4.07
31,tuktoyaktuk,few clouds,CA,1614184675,67,69.4541,-133.0374,-39,1.54
32,camacupa,moderate rain,AO,1614228726,97,-12.0167,17.4833,16.35,1.87
33,cotonou,scattered clouds,BJ,1614233053,81,6.3654,2.4183,27.4,6.85
34,constitucion,clear sky,CL,1614162730,90,-35.3333,-72.4167,14.62,2.06
35,parauna,scattered clouds,BR,1614158409,88,-16.9478,-50.4486,21.54,1.93
36,katsuura,few clouds,JP,1614201240,24,35.1333,140.3,8.89,4.47
37,narsaq,clear sky,GL,1614161947,63,60.9167,-46.05,-7,0.51
38,ushuaia,broken clouds,AR,1614160005,70,-54.8,-68.3,6,11.83
39,kropotkin,few clouds,RU,1614225800,89,45.4375,40.5756,-9.44,2.93
40,butaritari,overcast clouds,KI,1614192045,78,3.0707,172.7902,27.58,8.96
41,bambous virieux,broken clouds,MU,1614218703,94,-20.3428,57.7575,24,1.54
42,nuuk,clear sky,GL,1614163890,79,64.1835,-51.7216,-7.22,3.6
43,fallon,few clouds,US,1614177295,28,39.4735,-118.7774,3,6.17
44,victoria,light rain,HK,1614206886,89,22.2855,114.1577,20,0.45
45,yar-sale,overcast clouds,RU,1614221313,90,66.8333,70.8333,-24.42,1.03
46,atuona,clear sky,PF,1614179976,76,-9.8,-139.0333,26.2,4.83
47,sulangan,scattered clouds,PH,1614204133,74,11.1373,123.7228,26.99,3.68
48,torbay,light snow,CA,1614162046,86,47.6666,-52.7314,0,7.2
50,puerto baquerizo moreno,overcast clouds,EC,1614168467,84,-0.9,-89.6,25.35,4
51,bagru,haze,IN,1614216352,30,26.8088,75.5423,22,2.06
52,mugango,overcast clouds,TZ,1614225240,82,-1.6833,33.7,19.47,2.58
53,rikitea,moderate rain,PF,1614178415,76,-23.1203,-134.9692,27.02,13.12
54,broken hill,clear sky,AU,1614198029,26,-31.95,141.4333,22,6.69
55,manacapuru,heavy intensity rain,BR,1614161418,94,-3.2997,-60.6206,25,1.18
57,ilulissat,clear sky,GL,1614164998,52,69.2167,-51.1,-13,1.54
58,faanui,scattered clouds,PF,1614182747,73,-16.4833,-151.75,27.7,5.21
60,tasiilaq,overcast clouds,GL,1614160822,68,65.6145,-37.6368,-4,1.03
61,walvis bay,clear sky,NA,1614228967,88,-22.9575,14.5053,16.11,3.09
62,rikitea,moderate rain,PF,1614178415,76,-23.1203,-134.9692,27.02,13.12
64,poum,overcast clouds,NC,1614193198,71,-20.2333,164.0167,28.08,3.55
65,san andres,scattered clouds,CO,1614167105,78,12.5847,-81.7006,27,7.72
66,baykit,few clouds,RU,1614214178,81,61.67,96.37,-30.32,1.45
67,albany,overcast clouds,US,1614166756,43,42.6001,-73.9662,7.22,4.53
68,barrow,clear sky,US,1614190996,68,71.2906,-156.7887,-33,5.66
69,saint-augustin,overcast clouds,CA,1614163779,86,51.226,-58.6502,-8.36,2.34
70,nome,light snow,US,1614191172,79,64.5011,-165.4064,-10,4.12
71,kodiak,light snow,US,1614186972,75,57.79,-152.4072,3,8.75
73,rawson,clear sky,AR,1614160410,61,-43.3002,-65.1023,18.56,2.28
74,saint-georges,broken clouds,GD,1614162296,94,12.0564,-61.7485,24,10.29
75,punta arenas,broken clouds,CL,1614160842,73,-53.15,-70.9167,7.99,5.25
76,jamestown,overcast clouds,US,1614167985,87,42.097,-79.2353,3.33,9.77
77,hobart,broken clouds,AU,1614195891,71,-42.8794,147.3294,13.33,4.63
78,saldanha,clear sky,ZA,1614227623,72,-33.0117,17.9442,17,3.6
79,mar del plata,mist,AR,1614158987,94,-38.0023,-57.5575,19.44,1.54
80,busselton,clear sky,AU,1614204198,63,-33.65,115.3333,23.33,0.89
81,mataura,broken clouds,NZ,1614190444,66,-46.1927,168.8643,15.56,3.58
82,bambous virieux,broken clouds,MU,1614218703,94,-20.3428,57.7575,24,1.54
83,mehamn,overcast clouds,NO,1614232839,96,71.0357,27.8492,-0.95,7.11
84,rikitea,moderate rain,PF,1614178415,76,-23.1203,-134.9692,27.02,13.12
85,mar del plata,mist,AR,1614158987,94,-38.0023,-57.5575,19.44,1.54
86,ushuaia,broken clouds,AR,1614160005,70,-54.8,-68.3,6,11.83
87,saint george,clear sky,US,1614175907,22,37.1041,-113.5841,12,13.89
88,lebu,clear sky,CL,1614162878,88,-37.6167,-73.65,14.59,5.75
90,jamestown,overcast clouds,US,1614167985,87,42.097,-79.2353,3.33,9.77
91,boa vista,clear sky,BR,1614161672,69,2.8197,-60.6733,27,4.63
92,belle fourche,clear sky,US,1614174068,68,44.6714,-103.8522,-3.33,2.57
93,alvaraes,moderate rain,BR,1614162425,97,-3.2208,-64.8042,24.11,0.72
94,aklavik,few clouds,CA,1614184781,75,68.2191,-135.0107,-35,3.09
95,grand gaube,clear sky,MU,1614218741,78,-20.0064,57.6608,23.33,1.34
96,caravelas,clear sky,BR,1614155686,88,-17.7125,-39.2481,24.98,2.76
97,saskylakh,clear sky,RU,1614212557,81,71.9167,114.0833,-34.94,3.2
99,albany,overcast clouds,US,1614166756,43,42.6001,-73.9662,7.22,4.53
100,mastung,clear sky,PK,1614218580,43,29.7994,66.845,10.69,2.49
101,lokossa,clear sky,BJ,1614233232,77,6.6387,1.7167,26.52,3.5
102,albany,overcast clouds,US,1614166756,43,42.6001,-73.9662,7.22,4.53
